"","code","name","weight.grams","hairless","marine"
"1","vicPac2","Alpaca",62000,"no","no"
"2","turTru2","Dolphin",2e+05,"yes","yes"
"3","tupChi1","Chinese_tree_shrew",200,"no","no"
"5","triMan1","Manatee",322000,"yes","yes"
"6","susScr3","Pig",130000,"yes","no"
"7","speTri2","Squirrel",136,"no","no"
"8","sorAra2","Shrew",9,"no","no"
"9","sarHar1","Tasmanian_devil",6500,"no","no"
"10","saiBol1","Squirrel_monkey",615,"no","no"
"11","rn5","Rat",300,"no","no"
"12","rheMac3","Rhesus",8235,"no","no"
"13","pteVam1","Megabat",872,"no","no"
"14","pteAle1","Black_flying-fox",672.1,"no","no"
"15","ponAbe2","Orangutan",64475,"no","no"
"16","papHam1","Baboon",18000,"no","no"
"17","panTro4","Chimp",44983.5,"no","no"
"18","panHod1","Tibetan_antelope",32000,"no","no"
"19","oviAri3","Sheep",160000,"no","no"
"20","otoGar3","Bushbaby",1300,"no","no"
"21","oryCun2","Rabbit",1800,"no","no"
"22","oryAfe1","Aardvark",60000,"no","no"
"23","ornAna1","Platypus",1250,"no","no"
"24","orcOrc1","Killer_whale",3990000,"yes","yes"
"25","odoRosDi","Pacific_walrus",1010000,"yes","yes"
"26","octDeg1","Brush-tailed_rat",235,"no","no"
"27","ochPri3","Pika",100,"no","no"
"28","nomLeu3","Gibbon",6000,"no","no"
"29","myoLuc2","Microbat",10,"no","no"
"30","myoDav1","Davids_Myotis_bat",5.3,"no","no"
"31","musFur1","Ferret",809,"no","no"
"32","monDom5","Opossum",105,"no","no"
"33","mm10","Mouse",20.5,"no","no"
"34","micOch1","Prairie_vole",40,"no","no"
"36","mesAur1","Golden_hamster",105,"no","no"
"37","macFas5","Crab-eating_macaque",6362.5,"no","no"
"38","macEug2","Wallaby",6500,"no","no"
"39","loxAfr3","Elephant",4800000,"yes","no"
"40","lepWed1","Weddell_seal",425000,"no","yes"
"41","jacJac1","Lesser_Egyptian_jerboa",55,"no","no"
"42","hg19","Human",62035,"yes","no"
"43","hetGla2","Naked_mole-rat",35,"yes","no"
"44","gorGor3","Gorilla",139842,"no","no"
"45","felCat5","Cat",5500,"no","no"
"46","eriEur2","Hedgehog",750,"no","no"
"47","equCab2","Horse",3e+05,"no","no"
"48","eptFus1","Big_brown_bat",23,"no","no"
"49","eleEdw1","Cape_elephant_shrew",50,"no","no"
"50","echTel2","Tenrec",180,"no","no"
"51","dasNov3","Armadillo",5500,"yes","no"
"52","criGri1","Chinese_hamster",37,"no","no"
"53","conCri1","Star-nosed_mole",55.3,"no","no"
"54","chrAsi1","Cape_golden_mole",42,"no","no"
"56","chlSab1","Green_monkey",5150,"no","no"
"57","chiLan1","Chinchilla",642.5,"no","no"
"58","cerSim1","White_rhinoceros",2180000,"no","no"
"59","cavPor3","Guinea_pig",728,"no","no"
"60","capHir1","Domestic_goat",61000,"no","no"
"61","canFam3","Dog",26625,"no","no"
"62","camFer1","Bactrian_camel",475000,"no","no"
"63","calJac3","Marmoset",255.2,"no","no"
"64","bosTau7","Cow",750000,"no","no"
"65","ailMel1","Panda",117500,"no","no"
